selector,method,similarity_bin,n,success,median_rmsd,pb_valid_all,replacement_rate,eligible_rate
oracle_min_rmsd,boltz,high,300,0.9,0.48099832236766815,0.7333333333333333,1.0,1.0
oracle_min_rmsd,boltz,low,70,0.15714285714285714,5.111085891723633,0.5,1.0,1.0
oracle_min_rmsd,boltz,mid,300,0.5866666666666667,1.5168759226799011,0.6,1.0,1.0
oracle_min_rmsd,boltz1x,all,666,0.6756756756756757,0.8349789083003998,0.8793103448275862,1.0,1.0
oracle_min_rmsd,boltz1x,high,300,0.8833333333333333,0.46192237734794617,1.0,1.0,1.0
oracle_min_rmsd,boltz1x,low,66,0.15151515151515152,5.1327009201049805,0.7777777777777778,1.0,1.0
oracle_min_rmsd,boltz1x,mid,300,0.5833333333333334,1.4925705790519714,0.8387096774193549,1.0,1.0
oracle_min_rmsd,boltz2,all,630,0.7666666666666667,0.6751895844936371,,1.0,1.0
oracle_min_rmsd,boltz2,high,300,0.9466666666666667,0.3540731966495514,,1.0,1.0
oracle_min_rmsd,boltz2,low,31,0.1935483870967742,3.8177645206451416,,1.0,1.0
oracle_min_rmsd,boltz2,mid,299,0.6454849498327759,1.2372722625732422,,1.0,1.0
oracle_min_rmsd,chai,all,680,0.6794117647058824,0.7640203535556793,0.7837837837837838,1.0,1.0
oracle_min_rmsd,chai,high,300,0.93,0.2949099838733673,0.8666666666666667,1.0,1.0
oracle_min_rmsd,chai,low,80,0.2625,6.158359527587891,0.8,1.0,1.0
oracle_min_rmsd,chai,mid,300,0.54,1.6799092292785645,0.7058823529411765,1.0,1.0
oracle_min_rmsd,protenix,all,687,0.6754002911208151,0.7907001972198486,0.7142857142857143,1.0,1.0
oracle_min_rmsd,protenix,high,300,0.96,0.32111589610576624,0.8571428571428571,1.0,1.0
oracle_min_rmsd,protenix,low,87,0.1724137931034483,7.985792636871338,0.0,1.0,1.0
oracle_min_rmsd,protenix,mid,300,0.5366666666666666,1.7848669290542603,0.6923076923076923,1.0,1.0
physics_score_balanced,all_methods,all,4727,0.6244975671673366,1.0936570167541504,0.6919004764425623,0.08906283054791622,1.0
physics_score_balanced,all_methods,high,2100,0.8909523809523809,0.4409884661436081,0.7657075748678802,0.05238095238095238,1.0
physics_score_balanced,all_methods,low,528,0.14015151515151514,8.15257978439331,0.45539906103286387,0.17992424242424243,1.0
physics_score_balanced,all_methods,mid,2099,0.47975226298237256,2.1315879821777344,0.676773802304427,0.10290614578370652,1.0
physics_score_balanced,af3,all,697,0.6312769010043041,1.0004606246948242,0.6897637795275591,0.11477761836441894,1.0
physics_score_balanced,af3,high,300,0.9066666666666666,0.330759197473526,0.7770034843205574,0.05,1.0
physics_score_balanced,af3,low,97,0.1958762886597938,7.986755847930908,0.37662337662337664,0.26804123711340205,1.0
physics_score_balanced,af3,mid,300,0.49666666666666665,2.0027053356170654,0.6863468634686347,0.13,1.0
physics_score_balanced,af3_no_template,all,697,0.6456241032998565,0.9786425232887268,0.6487341772151899,0.1133428981348637,1.0
physics_score_balanced,af3_no_template,high,300,0.9266666666666666,0.3469553589820862,0.7295373665480427,0.07,1.0
physics_score_balanced,af3_no_template,low,97,0.1958762886597938,7.541641712188721,0.3466666666666667,0.26804123711340205,1.0
physics_score_balanced,af3_no_template,mid,300,0.51,1.827164351940155,0.6485507246376812,0.10666666666666667,1.0
physics_score_balanced,boltz,all,670,0.608955223880597,1.2638400793075562,0.5343137254901961,0.1044776119402985,1.0
physics_score_balanced,boltz,high,300,0.86,0.5899710953235626,0.5971223021582733,0.08,1.0
physics_score_balanced,boltz,low,70,0.08571428571428572,7.704009771347046,0.3050847457627119,0.18571428571428572,1.0
physics_score_balanced,boltz,mid,300,0.48,2.1087663173675537,0.52,0.11,1.0
physics_score_balanced,boltz1x,all,666,0.6171171171171171,1.1631397008895874,0.9182098765432098,0.03903903903903904,1.0
physics_score_balanced,boltz1x,high,300,0.8466666666666667,0.5457308888435364,0.9312714776632303,0.03,1.0
physics_score_balanced,boltz1x,low,66,0.06060606060606061,7.1792778968811035,0.8153846153846154,0.045454545454545456,1.0
